Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2017,Annual,National,VC_DSR_MORT,,Female,NUMBER,56
2018,Annual,National,VC_DSR_MORT,,Female,NUMBER,4
2007,Annual,National,VC_DSR_MORT,Batken,,NUMBER,8
2008,Annual,National,VC_DSR_MORT,Batken,,NUMBER,9
2010,Annual,National,VC_DSR_MORT,Batken,,NUMBER,15
2011,Annual,National,VC_DSR_MORT,Batken,,NUMBER,7
2012,Annual,National,VC_DSR_MORT,Batken,,NUMBER,9
2013,Annual,National,VC_DSR_MORT,Batken,,NUMBER,3
2014,Annual,National,VC_DSR_MORT,Batken,,NUMBER,3
2015,Annual,National,VC_DSR_MORT,Batken,,NUMBER,1
2016,Annual,National,VC_DSR_MORT,Batken,,NUMBER,9
2007,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,6
2008,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,9
2010,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,11
2011,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,4
2012,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,7
2013,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,3
2014,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,3
2015,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,1
2016,Annual,National,VC_DSR_MORT,Batken,Male,NUMBER,7
2007,Annual,National,VC_DSR_MORT,Batken,Female,NUMBER,2
2010,Annual,National,VC_DSR_MORT,Batken,Female,NUMBER,4
2011,Annual,National,VC_DSR_MORT,Batken,Female,NUMBER,3
2012,Annual,National,VC_DSR_MORT,Batken,Female,NUMBER,2
2016,Annual,National,VC_DSR_MORT,Batken,Female,NUMBER,2
2007,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,5
2008,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,25
2009,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,39
2010,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,32
2011,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,35
2012,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,33
2013,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,31
2014,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,17
2015,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,11
2016,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,13
2017,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,43
2018,Annual,National,VC_DSR_MORT,Jalal-Abad,,NUMBER,4
2007,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,5
2008,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,18
2009,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,27
2010,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,21
2011,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,27
2012,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,17
2013,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,22
2014,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,11
2015,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,5
2016,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,9
2017,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,29
2018,Annual,National,VC_DSR_MORT,Jalal-Abad,Male,NUMBER,4
2008,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,7
2009,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,12
2010,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,11
2011,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,8
2012,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,16
2013,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,9
2014,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,6
2015,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,6
2016,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,4
2017,Annual,National,VC_DSR_MORT,Jalal-Abad,Female,NUMBER,14
2007,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,14
2008,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,42
2009,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,11
2010,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,15
2011,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,17
2012,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,4
2013,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,21
2014,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,25
2015,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,6
2016,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,2
2017,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,6
2018,Annual,National,VC_DSR_MORT,Issyk-Kul,,NUMBER,2
2007,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,10
2008,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,26
2009,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,7
2010,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,10
2011,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,9
2012,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,4
2013,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,13
2014,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,16
2015,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,5
2016,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,1
2017,Annual,National,VC_DSR_MORT,Issyk-Kul,Male,NUMBER,6
2007,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,4
2008,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,16
2009,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,4
2010,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,5
2011,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,8
2013,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,8
2014,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,9
2015,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,1
2016,Annual,National,VC_DSR_MORT,Issyk-Kul,Female,NUMBER,1
2007,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,5
2008,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,6
2010,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,7
2012,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,5
2013,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,8
2014,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,2
2015,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,9
2016,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,1
2017,Annual,National,VC_DSR_MORT,Naryn,,NUMBER,2
2007,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,4
2008,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,4
2010,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,4
2012,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,4
2013,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,5
2014,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,2
2015,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,6
2016,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,1
2017,Annual,National,VC_DSR_MORT,Naryn,Male,NUMBER,2
2007,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,1
2008,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,2
2010,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,3
2012,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,1
2013,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,3
2015,Annual,National,VC_DSR_MORT,Naryn,Female,NUMBER,3
2007,Annual,National,VC_DSR_MORT,Osh,,NUMBER,6
2008,Annual,National,VC_DSR_MORT,Osh,,NUMBER,96
2009,Annual,National,VC_DSR_MORT,Osh,,NUMBER,2
2010,Annual,National,VC_DSR_MORT,Osh,,NUMBER,19
2011,Annual,National,VC_DSR_MORT,Osh,,NUMBER,11
2012,Annual,National,VC_DSR_MORT,Osh,,NUMBER,22
2013,Annual,National,VC_DSR_MORT,Osh,,NUMBER,5
2015,Annual,National,VC_DSR_MORT,Osh,,NUMBER,10
2016,Annual,National,VC_DSR_MORT,Osh,,NUMBER,1
2017,Annual,National,VC_DSR_MORT,Osh,,NUMBER,35
2018,Annual,National,VC_DSR_MORT,Osh,,NUMBER,1
2007,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,6
2008,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,50
2009,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,2
2010,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,12
2011,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,6
2012,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,16
2013,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,3
2015,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,7
2016,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,1
2017,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,17
2018,Annual,National,VC_DSR_MORT,Osh,Male,NUMBER,1
2008,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,46
2010,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,7
2011,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,5
2012,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,6
2013,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,2
2015,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,3
2017,Annual,National,VC_DSR_MORT,Osh,Female,NUMBER,18
2007,Annual,National,VC_DSR_MORT,Talas,,NUMBER,1
2010,Annual,National,VC_DSR_MORT,Talas,,NUMBER,4
2011,Annual,National,VC_DSR_MORT,Talas,,NUMBER,6
2013,Annual,National,VC_DSR_MORT,Talas,,NUMBER,5
2007,Annual,National,VC_DSR_MORT,Talas,Male,NUMBER,1
2010,Annual,National,VC_DSR_MORT,Talas,Male,NUMBER,3
2011,Annual,National,VC_DSR_MORT,Talas,Male,NUMBER,4
2013,Annual,National,VC_DSR_MORT,Talas,Male,NUMBER,4
2010,Annual,National,VC_DSR_MORT,Talas,Female,NUMBER,1
2011,Annual,National,VC_DSR_MORT,Talas,Female,NUMBER,2
2013,Annual,National,VC_DSR_MORT,Talas,Female,NUMBER,1
2007,Annual,National,VC_DSR_MORT,Chui,,NUMBER,35
2008,Annual,National,VC_DSR_MORT,Chui,,NUMBER,102
2009,Annual,National,VC_DSR_MORT,Chui,,NUMBER,19
2010,Annual,National,VC_DSR_MORT,Chui,,NUMBER,46
2011,Annual,National,VC_DSR_MORT,Chui,,NUMBER,41
2012,Annual,National,VC_DSR_MORT,Chui,,NUMBER,23
2013,Annual,National,VC_DSR_MORT,Chui,,NUMBER,22
2014,Annual,National,VC_DSR_MORT,Chui,,NUMBER,13
2015,Annual,National,VC_DSR_MORT,Chui,,NUMBER,15
2016,Annual,National,VC_DSR_MORT,Chui,,NUMBER,14
2017,Annual,National,VC_DSR_MORT,Chui,,NUMBER,55
2018,Annual,National,VC_DSR_MORT,Chui,,NUMBER,10
2007,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,28
2008,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,76
2009,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,12
2010,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,32
2011,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,30
2012,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,15
2013,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,12
2014,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,7
2015,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,8
2016,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,11
2017,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,31
2018,Annual,National,VC_DSR_MORT,Chui,Male,NUMBER,7
2007,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,7
2008,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,26
2009,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,7
2010,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,14
2011,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,11
2012,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,8
2013,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,10
2014,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,6
2015,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,7
2016,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,3
2017,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,24
2018,Annual,National,VC_DSR_MORT,Chui,Female,NUMBER,3
2007,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,12
2008,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,1
2010,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,14
2011,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,19
2012,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,3
2014,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,2
2016,Annual,National,VC_DSR_MORT,Bishkek (city),,NUMBER,7
2007,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,9
2008,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,1
2010,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,9
2011,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,11
2012,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,2
2016,Annual,National,VC_DSR_MORT,Bishkek (city),Male,NUMBER,7
2007,Annual,National,VC_DSR_MORT,Bishkek (city),Female,NUMBER,3
2010,Annual,National,VC_DSR_MORT,Bishkek (city),Female,NUMBER,5
2011,Annual,National,VC_DSR_MORT,Bishkek (city),Female,NUMBER,8
2012,Annual,National,VC_DSR_MORT,Bishkek (city),Female,NUMBER,1
2014,Annual,National,VC_DSR_MORT,Bishkek (city),Female,NUMBER,2
2007,Annual,National,VC_DSR_MORT,Osh (city),,NUMBER,7
2010,Annual,National,VC_DSR_MORT,Osh (city),,NUMBER,6
2011,Annual,National,VC_DSR_MORT,Osh (city),,NUMBER,4
2015,Annual,National,VC_DSR_MORT,Osh (city),,NUMBER,1
2018,Annual,National,VC_DSR_MORT,Osh (city),,NUMBER,1
2007,Annual,National,VC_DSR_MORT,Osh (city),Male,NUMBER,5
2010,Annual,National,VC_DSR_MORT,Osh (city),Male,NUMBER,4
2011,Annual,National,VC_DSR_MORT,Osh (city),Male,NUMBER,2
2015,Annual,National,VC_DSR_MORT,Osh (city),Male,NUMBER,1
2018,Annual,National,VC_DSR_MORT,Osh (city),Male,NUMBER,1
2007,Annual,National,VC_DSR_MORT,Osh (city),Female,NUMBER,2
2010,Annual,National,VC_DSR_MORT,Osh (city),Female,NUMBER,2
2011,Annual,National,VC_DSR_MORT,Osh (city),Female,NUMBER,2
