Year,Frequency of observation,Reporting type,SDG Series,Reference area,Unit of measure,Value
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.4106809999999999
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.3973389999999999
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.3666129999999999
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.391437
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.400236
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.390469
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.671366
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.457214
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.423568
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.503572
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.575064
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.53011
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.430693
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.366601
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.342043
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.284926
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.2882930000000001
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Naryn,Percent,1.232146
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.940158
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.693844
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.778368
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.700996
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.715643
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.506557
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.296044
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.013868
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,4.015779
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,3.788525
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,3.868011
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Osh,Percent,3.639299
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.73051
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.843038
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.8163279999999999
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.784158
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.8255049999999999
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.806951
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.784064
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.7721720000000001
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.795667
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.823182
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.8582280000000001
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Talas,Percent,0.833649
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9582990000000002
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9942509999999998
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9394369999999999
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9224849999999998
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.949861
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.969888
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9161540000000001
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.902321
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9056959999999998
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.915556
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9093200000000001
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Chui,Percent,1.9317
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.509824
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7903830000000003
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7625520000000001
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7552740000000002
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.761641
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7988119999999999
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7537740000000002
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.74105
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.736014
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.742989
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7667380000000001
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Bishkek (city),Percent,1.7700599999999997
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.49289499999999997
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.48253
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.46367600000000003
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.473654
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.470606
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.46085200000000004
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.454024
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.45231099999999996
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.452797
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.445767
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.44659099999999996
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Osh (city),Percent,0.455388
