Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Degree of urbanisation,Economic activity,Units,Value
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,30 to 34 years old,,,PT,31.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,30 to 34 years old,,,PT,22.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,30 to 34 years old,,,PT,22.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,30 to 34 years old,,,PT,18.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,35 to 39 years old,,,PT,33.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,35 to 39 years old,,,PT,27.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,35 to 39 years old,,,PT,26.4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,35 to 39 years old,,,PT,23.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,40 to 44 years old,,,PT,27.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,40 to 44 years old,,,PT,20.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,40 to 44 years old,,,PT,21.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,40 to 44 years old,,,PT,18.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,45 to 49 years old,,,PT,20.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,45 to 49 years old,,,PT,15.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,45 to 49 years old,,,PT,15.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,45 to 49 years old,,,PT,13.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,50 to 54 years old,,,PT,12.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,50 to 54 years old,,,PT,11.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,50 to 54 years old,,,PT,10.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,50 to 54 years old,,,PT,12.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,55 to 59 years old,,,PT,11.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,55 to 59 years old,,,PT,8.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,55 to 59 years old,,,PT,10.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,55 to 59 years old,,,PT,9.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,60 to 64 years old,,,PT,9.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,60 to 64 years old,,,PT,14.2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,60 to 64 years old,,,PT,14.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,60 to 64 years old,,,PT,12.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,65 to 69 years old,,,PT,5.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,65 to 69 years old,,,PT,7.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,65 to 69 years old,,,PT,6.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,65 to 69 years old,,,PT,4.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,70 years old and over,,,PT,4.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,70 years old and over,,,PT,13.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,70 years old and over,,,PT,10.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,70 years old and over,,,PT,3.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Urban,,PT,18.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Urban,,PT,11.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Urban,,PT,13.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Urban,,PT,13.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Rural,,PT,25.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Rural,,PT,21.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Rural,,PT,20.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,Rural,,PT,16.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Agriculture, forestry and fishing",PT,29.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Agriculture, forestry and fishing",PT,24.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Agriculture, forestry and fishing",PT,22.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Agriculture, forestry and fishing",PT,21.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Mining and quarrying,PT,25.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Mining and quarrying,PT,17.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Mining and quarrying,PT,43.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Mining and quarrying,PT,46.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Manufacturing,PT,20.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Manufacturing,PT,16.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Manufacturing,PT,19.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Manufacturing,PT,13.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Electricity, gas, steam and air conditioning supply",PT,10.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Electricity, gas, steam and air conditioning supply",PT,6.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Electricity, gas, steam and air conditioning supply",PT,16.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Electricity, gas, steam and air conditioning supply",PT,9.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Water supply; sewerage, waste management and remediation activities",PT,8.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Water supply; sewerage, waste management and remediation activities",PT,11.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Water supply; sewerage, waste management and remediation activities",PT,16.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Water supply; sewerage, waste management and remediation activities",PT,14.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Construction,PT,30.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Construction,PT,21.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Construction,PT,25.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Construction,PT,18.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,17.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,13.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,12.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,12.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Transportation and storage,PT,22.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Transportation and storage,PT,20.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Transportation and storage,PT,18.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Transportation and storage,PT,14.2
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Accommodation and food service activities,PT,18.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Accommodation and food service activities,PT,14.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Accommodation and food service activities,PT,10.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Accommodation and food service activities,PT,10.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Information and communication,PT,23.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Information and communication,PT,12.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Information and communication,PT,7.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Information and communication,PT,7.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Financial and insurance activities,PT,10.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Financial and insurance activities,PT,7.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Financial and insurance activities,PT,11.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Financial and insurance activities,PT,10.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Real estate activities,PT,3.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Real estate activities,PT,1.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Real estate activities,PT,1.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Professional, scientific and technical activities",PT,19.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Professional, scientific and technical activities",PT,6.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Professional, scientific and technical activities",PT,10.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Professional, scientific and technical activities",PT,6.2
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Administrative and support service activities,PT,13.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Administrative and support service activities,PT,9.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Administrative and support service activities,PT,17.4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Administrative and support service activities,PT,10.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Public administration and defence; compulsory social security,PT,16.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Public administration and defence; compulsory social security,PT,9.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Public administration and defence; compulsory social security,PT,10.1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Public administration and defence; compulsory social security,PT,6.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Education,PT,20.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Education,PT,16.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Education,PT,18.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Education,PT,18.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Human health and social work activities,PT,13.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Human health and social work activities,PT,11.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Human health and social work activities,PT,15.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Human health and social work activities,PT,12.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Arts, entertainment and recreation",PT,24.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Arts, entertainment and recreation",PT,22.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Arts, entertainment and recreation",PT,13.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,"Arts, entertainment and recreation",PT,10.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Other service activities,PT,14.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Other service activities,PT,10.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Other service activities,PT,9.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Other service activities,PT,9.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,PT,24.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,PT,46.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,PT,31.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,PT,23.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,Activities of extraterritorial organisations and bodies,PT,15.6
