Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2011,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,9.9
2012,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,8.3
2013,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,6.3
2014,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,5.5
2015,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,7.2
2016,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,7.2
2017,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,8.1
2018,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,10.9
2007,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,1.0
2008,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.4
2009,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.7
2010,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.5
2011,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.4
2012,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,3.7
2013,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,1.6
2014,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.7
2015,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,4.0
2016,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,3.4
2017,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,2.3
2018,Annual,National,SH_STA_POISN,Osh,PER_100000_POP,3.4
2007,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,3.6
2008,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,4.4
2009,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,4.4
2010,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,3.5
2011,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,2.6
2012,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,5.5
2013,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,3.7
2014,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,4.1
2015,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,6.8
2016,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,6.3
2017,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,2.3
2018,Annual,National,SH_STA_POISN,Talas,PER_100000_POP,5.7
2007,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,15.8
2008,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,16.0
2009,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,11.9
2010,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,11.1
2011,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.7
2012,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,9.4
2013,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.4
2014,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.9
2015,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,6.3
2016,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.9
2017,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.9
2018,Annual,National,SH_STA_POISN,Chui,PER_100000_POP,7.1
2007,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,24.1
2008,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,24.3
2009,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,21.0
2010,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,16.3
2011,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,16.0
2012,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,12.2
2013,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,9.9
2014,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,10.0
2015,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,8.1
2016,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,8.1
2017,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,6.6
2018,Annual,National,SH_STA_POISN,Bishkek (city),PER_100000_POP,6.5
2007,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,1.6
2008,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,3.5
2009,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,3.1
2010,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,3.9
2011,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,3.5
2012,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,5.8
2013,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,4.9
2014,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,1.9
2015,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,4.4
2016,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,6.1
2017,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,3.5
2018,Annual,National,SH_STA_POISN,Osh (city),PER_100000_POP,2.7
