Year,Series,REF_AREA,URBANISATION,OBS_STATUS,COMMENT_OBS,Units,COMMENT_TS,Value
2010,_L_KG_010101_1A,KG11,_T,A,,PT,,0.5
2011,_L_KG_010101_1A,KG11,_T,A,,PT,,1.0
2012,_L_KG_010101_1A,KG11,_T,A,,PT,,1.2
2013,_L_KG_010101_1A,KG11,_T,A,,PT,,1.0
2014,_L_KG_010101_1A,KG11,_T,A,,PT,,0.0
2015,_L_KG_010101_1A,KG11,_T,A,,PT,,0.8
2016,_L_KG_010101_1A,KG11,_T,A,,PT,,0.0
2017,_L_KG_010101_1A,KG11,_T,A,,PT,,0.0
2018,_L_KG_010101_1A,KG11,_T,A,,PT,,0.3
2013,_L_KG_010101_1A,KG21,_T,A,,PT,,3.5
2014,_L_KG_010101_1A,KG21,_T,A,,PT,,3.1
2015,_L_KG_010101_1A,KG21,_T,A,,PT,,1.7
2016,_L_KG_010101_1A,KG21,_T,A,,PT,,0.0
2017,_L_KG_010101_1A,KG21,_T,A,,PT,,1.2
2018,_L_KG_010101_1A,KG21,_T,A,,PT,,0.6
