Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Unit of measure,Value
2012,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,33.764476
2013,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,54.087839
2014,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,42.448702
2015,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,41.395882
2016,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,38.033369
2017,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,41.521176
2018,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,33.888979
2007,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,53.037853
2008,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,40.086271
2009,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,36.873144
2010,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,44.705496
2011,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,45.290428
2012,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,55.657831
2013,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,46.412538
2014,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,46.435379
2015,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,45.092335
2016,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,32.247345
2017,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,32.58065
2018,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,,Percent,32.21518
2007,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,51.581913
2008,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,37.898731
2009,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,33.475027
2010,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,43.666948
2011,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,43.691714
2012,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,55.271782
2013,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,47.356836
2014,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,47.010505
2015,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,45.246248
2016,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,33.070935
2017,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,33.991288
2018,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Male,Percent,33.427506
2007,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,54.569086
2008,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,42.427936
2009,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,40.528056
2010,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,45.762936
2011,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,46.925946
2012,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,56.050613
2013,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,45.459524
2014,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,45.842338
2015,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,44.933484
2016,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,31.382458
2017,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,31.110381
2018,Annual,National,Proportion of population living below the national poverty line,Jalal-Abad,Female,Percent,30.924895
2007,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,38.587156
2008,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,52.243736
2009,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,46.090374
2010,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,38.013539
2011,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,29.522755
2012,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,28.137635
2013,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,39.47799
2014,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,26.014325
2015,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,28.892638
2016,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,24.744553
2017,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,24.170329
2018,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,,Percent,21.52951
2007,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,38.684594
2008,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,52.152947
2009,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,47.889059
2010,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,36.910699
2011,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,31.115103
2012,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,28.242618
2013,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,40.42619
2014,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,26.354813
2015,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,29.07856
2016,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,24.749642
2017,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,24.266813
2018,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Male,Percent,21.495641
2007,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,38.498843
2008,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,52.32036
2009,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,44.51291
2010,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,39.006289
2011,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,28.112247
2012,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,28.021324
2013,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,38.474804
2014,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,25.663079
2015,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,28.701454
2016,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,24.739204
2017,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,24.067407
2018,Annual,National,Proportion of population living below the national poverty line,Issyk-Kul,Female,Percent,21.566132
2007,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,45.182679
2008,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,42.730284
2009,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,44.11792
2010,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,53.531335
2011,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,49.925098
2012,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,39.932299
2013,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,43.754395
2014,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,30.560927
2015,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,38.007029
2016,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,37.798212
2017,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,29.21834
2018,Annual,National,Proportion of population living below the national poverty line,Naryn,,Percent,30.596328
2007,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,46.868159
2008,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,42.698866
2009,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,44.838863
2010,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,53.397509
2011,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,48.269824
2012,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,37.664069
2013,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,44.781415
2014,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,32.369301
2015,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,39.504744
2016,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,39.601891
2017,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,31.189138
2018,Annual,National,Proportion of population living below the national poverty line,Naryn,Male,Percent,31.5949
2007,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,43.678265
2008,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,42.757725
2009,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,43.496308
2010,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,53.676668
2011,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,51.728537
2012,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,42.395906
2013,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,42.671843
2014,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,28.643083
2015,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,36.407725
2016,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,35.859946
2017,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,27.069804
2018,Annual,National,Proportion of population living below the national poverty line,Naryn,Female,Percent,29.460632
2007,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,46.59161
2008,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,37.452826
2009,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,38.292036
2010,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,41.897118
2011,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,44.680774
2012,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,51.433698
2013,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,43.409369
2014,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,31.74014
2015,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,28.944511
2016,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,22.024663
2017,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,14.267617
2018,Annual,National,Proportion of population living below the national poverty line,Osh,,Percent,14.77862
2007,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,48.708186
2008,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,37.931554
2009,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,38.334636
2010,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,40.639754
2011,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,44.169695
2012,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,50.553916
2013,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,42.660819
2014,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,30.494417
2015,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,28.438703
2016,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,21.810872
2017,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,12.948415
2018,Annual,National,Proportion of population living below the national poverty line,Osh,Male,Percent,15.25625
2007,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,44.295394
2008,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,36.91306
2009,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,38.245332
2010,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,43.246261
2011,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,45.24075
2012,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,52.41883
2013,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,44.228326
2014,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,33.102942
2015,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,29.48951
2016,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,22.264453
2017,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,15.723495
2018,Annual,National,Proportion of population living below the national poverty line,Osh,Female,Percent,14.253422
2007,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,35.259053
2008,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,42.972123
2009,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,33.003964
2010,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,42.338833
2011,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,50.172706
2012,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,39.57478
2013,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,23.057182
2014,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,19.048344
2015,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,21.481514
2016,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,18.115851
2017,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,20.679703
2018,Annual,National,Proportion of population living below the national poverty line,Talas,,Percent,22.085934
2007,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,35.524401
2008,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,45.40342
2009,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,35.673722
2010,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,44.324841
2011,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,51.365667
2012,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,42.155403
2013,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,23.320678
2014,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,19.717988
2015,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,22.565255
2016,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,19.131642
2017,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,21.40538
2018,Annual,National,Proportion of population living below the national poverty line,Talas,Male,Percent,23.802663
2007,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,34.937966
2008,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,40.025342
2009,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,29.757565
2010,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,40.090318
2011,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,48.834977
2012,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,36.737399
2013,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,22.797196
2014,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,18.38895
2015,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,20.402521
2016,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,17.094741
2017,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,19.940922
2018,Annual,National,Proportion of population living below the national poverty line,Talas,Female,Percent,20.340712
2007,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,14.980994
2008,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,15.782631
2009,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,21.239381
2010,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,21.868453
2011,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,28.620908
2012,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,16.571766
2013,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,23.615399
2014,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,21.576154
2015,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,24.813851
2016,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,30.306457
2017,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,33.300588
2018,Annual,National,Proportion of population living below the national poverty line,Chui,,Percent,15.569903
2007,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,13.323177
2008,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,14.947409
2009,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,20.612283
2010,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,21.810234
2011,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,31.580794
2012,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,16.336951
2013,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,23.536875
2014,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,20.781079
2015,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,24.23137
2016,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,29.796796
2017,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,32.33125
2018,Annual,National,Proportion of population living below the national poverty line,Chui,Male,Percent,15.460809
2007,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,16.816017
2008,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,16.656433
2009,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,21.936014
2010,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,21.932251
2011,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,25.292386
2012,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,16.835987
2013,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,23.697958
2014,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,22.438097
2015,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,25.448532
2016,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,30.862157
2017,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,34.357578
2018,Annual,National,Proportion of population living below the national poverty line,Chui,Female,Percent,15.688805
2007,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,5.005041
2008,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,15.199877
2009,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,13.244359
2010,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,7.89363
2011,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,18.412319
2012,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,21.394253
2013,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,20.374195
2014,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,17.559795
2015,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,23.541813
2016,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,9.78144
2017,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,15.895977
2018,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),,Percent,15.431849
2007,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,4.99107
2008,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,14.580408
2009,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,12.694536
2010,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,7.30227
2011,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,17.126273
2012,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,19.902241
2013,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,18.389802
2014,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,15.756847
2015,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,22.249204
2016,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,8.899379
2017,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,14.320885
2018,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Male,Percent,14.746661
2007,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,5.022346
2008,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,15.989713
2009,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,13.950363
2010,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,8.654215
2011,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,20.038087
2012,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,23.294374
2013,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,22.845597
2014,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,19.854368
2015,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,25.206391
2016,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,10.893361
2017,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,17.858219
2018,Annual,National,Proportion of population living below the national poverty line,Bishkek (city),Female,Percent,16.325681
2007,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2008,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2009,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2010,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2011,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2012,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,0.0
2013,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,40.875893
2014,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,33.421786
2015,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,38.278868
2016,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,24.59944
2017,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,33.489021
