Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2018,Annual,National,SH_STA_SCIDE,Osh,PER_100000_POP,2.9
2007,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,4.9
2008,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,4.0
2009,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,7.5
2010,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,7.8
2011,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,5.1
2012,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,5.1
2013,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,12.4
2014,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,6.1
2015,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,8.4
2016,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,4.3
2017,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,3.1
2018,Annual,National,SH_STA_SCIDE,Talas,PER_100000_POP,3.8
2007,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,15.8
2008,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,17.9
2009,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,17.8
2010,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,20.1
2011,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,17.2
2012,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,20.5
2013,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,14.2
2014,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,14.4
2015,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,13.8
2016,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,16.7
2017,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,15.2
2018,Annual,National,SH_STA_SCIDE,Chui,PER_100000_POP,13.7
2007,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,10.3
2008,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,5.3
2009,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,5.7
2010,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,8.6
2011,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,6.5
2012,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,4.2
2013,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,3.8
2014,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,3.2
2015,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,2.5
2016,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,2.8
2017,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,2.4
2018,Annual,National,SH_STA_SCIDE,Bishkek (city),PER_100000_POP,1.8
2007,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,2.3
2008,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,3.9
2009,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,4.3
2010,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,1.6
2011,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,1.6
2012,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,2.7
2013,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,1.1
2014,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,2.2
2015,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,1.8
2016,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,2.5
2017,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,2.5
2018,Annual,National,SH_STA_SCIDE,Osh (city),PER_100000_POP,1.7
